City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,21.22,83,20,2.06,PT,1722667146
1,port-aux-francais,-49.35,70.2167,2.89,73,57,11.59,TF,1722667147
2,santiago de cao,-7.9589,-79.2392,17.07,88,100,3.6,PE,1722667149
3,adamstown,-25.066,-130.1015,20.47,76,33,4.7,PN,1722667150
4,yilan,24.757,121.753,37.92,62,6,3.22,TW,1722667151
5,haiku-pauwela,20.9219,-156.3051,24.01,90,100,3.09,US,1722667153
6,kalabo,-14.97,22.6814,20.2,29,0,3.9,ZM,1722667154
7,college,64.8569,-147.8028,10.97,88,100,2.06,US,1722667156
8,bethel,41.3712,-73.414,24.27,87,100,0.0,US,1722667157
9,ponta delgada,37.7333,-25.6667,22.4,88,20,0.0,PT,1722667158
10,olonkinbyen,70.9221,-8.7187,5.31,94,78,4.23,SJ,1722667160
11,port mathurin,-19.6833,63.4167,22.2,65,17,4.83,MU,1722667161
12,mar del plata,-38.0023,-57.5575,13.07,92,100,2.57,AR,1722666573
13,tiksi,71.6872,128.8694,8.03,68,97,2.11,RU,1722667088
14,port lincoln,-34.7333,135.8667,12.36,62,100,2.8,AU,1722667166
15,rongelap,11.1635,166.8941,28.7,76,13,3.03,MH,1722667167
16,kodiak,57.79,-152.4072,12.73,82,0,3.6,US,1722667085
17,trairi,-3.2778,-39.2689,22.56,86,14,4.3,BR,1722667004
18,koregaon,18.65,74.0833,23.33,92,100,5.59,IN,1722667171
19,castillos,-34.1667,-53.8333,19.22,74,11,5.16,UY,1722667173
20,anadyr,64.75,177.4833,10.28,93,75,6.0,RU,1722667174
21,walvis bay,-22.9575,14.5053,10.61,66,22,2.07,NA,1722667175
22,albany,42.6001,-73.9662,22.58,83,76,0.73,US,1722666970
23,krasnokamsk,58.0802,55.7541,19.09,72,65,2.17,RU,1722667180
24,midland,31.9974,-102.0779,30.14,38,0,4.63,US,1722666884
25,grytviken,-54.2811,-36.5092,-0.66,75,100,4.61,GS,1722667182
26,hauterive,46.0901,3.4459,18.42,75,25,0.96,FR,1722667184
27,crane,31.3974,-102.3501,29.76,38,5,4.34,US,1722667185
28,buka,40.8108,69.1986,38.4,14,0,2.31,UZ,1722667187
29,fisterra,42.9049,-9.2629,17.73,84,0,4.38,ES,1722667188
